WD18CD,WD18NM,WD18NMW,FID
E05001121,Howdon,,1115
E05000991,Rockingham,,1116
E05001122,Killingworth,,1117
E05000992,Royston,,1118
E05001123,Longbenton,,1119
E05000993,St Helens,,1120
E05001124,Monkseaton North,,1121
E05000994,Stairfoot,,1122
E05001125,Monkseaton South,,1123
E05000995,Wombwell,,1124
E05001126,Northumberland,,1125
E05000996,Worsbrough,,1126
E05001127,Preston,,1127
E05010728,Adwick le Street & Carcroft,,1128
E05001128,Riverside,,1129
E05010729,Armthorpe,,1130
E05001129,St Mary's,,1131
E05001130,Tynemouth,,1132
E05001131,Valley,,1133
E05001132,Wallsend,,1134
E05001133,Weetslade,,1135
E05001134,Whitley Bay,,1136
E05001135,Beacon and Bents,,1137
E05001136,Bede,,1138
E05001137,Biddick and All Saints,,1139
E05001138,Boldon Colliery,,1140
E05001139,Cleadon and East Boldon,,1141
E05001140,Cleadon Park,,1142
E05001141,Fellgate and Hedworth,,1143
E05001142,Harton,,1144
E05001143,Hebburn North,,1145
E05001144,Hebburn South,,1146
E05001145,Horsley Hill,,1147
E05001146,Monkton,,1148
E05001147,Primrose,,1149
E05001148,Simonside and Rekendyke,,1150
E05001149,Westoe,,1151
E05001150,West Park,,1152
E05001151,Whitburn and Marsden,,1153
E05001152,Whiteleas,,1154
E05001153,Barnes,,1155
E05001154,Castle,,1156
E05001155,Copt Hill,,1157
E05001156,Doxford,,1158
E05001157,Fulwell,,1159
E05001158,Hendon,,1160
E05001159,Hetton,,1161
E05001160,Houghton,,1162
E05001161,Millfield,,1163
E05001162,Pallion,,1164
E05001163,Redhill,,1165
E05001164,Ryhope,,1166
E05001165,St Anne's,,1167
E05001166,St Chad's,,1168
E05001167,St Michael's,,1169
E05001168,St Peter's,,1170
E05001169,Sandhill,,1171
E05001170,Shiney Row,,1172
E05001171,Silksworth,,1173
E05001172,Southwick,,1174
E05001173,Washington Central,,1175
E05001174,Washington East,,1176
E05001175,Washington North,,1177
E05001176,Washington South,,1178
E05001177,Washington West,,1179
E05011118,Acocks Green,,1180
E05011119,Allens Cross,,1181
E05011120,Alum Rock,,1182
E05011121,Aston,,1183
E05011122,Balsall Heath West,,1184
E05011123,Bartley Green,,1185
E05011124,Billesley,,1186
E05011125,Birchfield,,1187
E05011126,Bordesley & Highgate,,1188
E05011127,Bordesley Green,,1189
E05011128,Bournbrook & Selly Park,,1190
E05011129,Bournville & Cotteridge,,1191
E05011130,Brandwood & King's Heath,,1192
E05011131,Bromford & Hodge Hill,,1193
E05011132,Castle Vale,,1194
E05011133,Druids Heath & Monyhull,,1195
E05011134,Edgbaston,,1196
E05011135,Erdington,,1197
E05011136,Frankley Great Park,,1198
E05011137,Garretts Green,,1199
E05011138,Glebe Farm & Tile Cross,,1200
E05011139,Gravelly Hill,,1201
E05011140,Hall Green North,,1202
E05011141,Hall Green South,,1203
E05011142,Handsworth,,1204
E05011143,Handsworth Wood,,1205
E05011144,Harborne,,1206
E05011145,Heartlands,,1207
E05011146,Highter's Heath,,1208
E05011147,Holyhead,,1209
E05011148,King's Norton North,,1210
E05011149,King's Norton South,,1211
E05011150,Kingstanding,,1212
E05011151,Ladywood,,1213
E05011152,Longbridge & West Heath,,1214
E05011153,Lozells,,1215
E05011154,Moseley,,1216
E05011155,Nechells,,1217
E05011156,Newtown,,1218
E05011157,North Edgbaston,,1219
E05011158,Northfield,,1220
E05011159,Oscott,,1221
E05011160,Perry Barr,,1222
E05011161,Perry Common,,1223
E05011162,Pype Hayes,,1224
E05011163,Quinton,,1225
E05011164,Rubery & Rednal,,1226
E05011165,Shard End,,1227
E05011166,Sheldon,,1228
E05011167,Small Heath,,1229
E05011168,Soho & Jewellery Quarter,,1230
E05011169,South Yardley,,1231
E05011170,Sparkbrook & Balsall Heath East,,1232
E05011171,Sparkhill,,1233
E05011172,Stirchley,,1234
E05011173,Stockland Green,,1235
E05011174,Sutton Four Oaks,,1236
E05011175,Sutton Mere Green,,1237
E05001320,Willenhall South,,1238
E05001270,Langley,,1239
E05008947,Headland and Harbour,,1240
E05001370,Wyke,,1241
E05011391,Cross Gates & Whinmoor,,1242
E05011176,Sutton Reddicap,,1243
E05011177,Sutton Roughley,,1244
E05011178,Sutton Trinity,,1245
E05011179,Sutton Vesey,,1246
E05011180,Sutton Walmley & Minworth,,1247
E05011181,Sutton Wylde Green,,1248
E05011182,Tyseley & Hay Mills,,1249
E05011183,Ward End,,1250
E05011184,Weoley & Selly Oak,,1251
E05011185,Yardley East,,1252
E05011186,Yardley West & Stechford,,1253
E05001218,Bablake,,1254
E05001219,Binley and Willenhall,,1255
E05001220,Cheylesmore,,1256
E05001321,Bilston East,,1257
E05001271,Newton,,1258
E05008948,Jesmond,,1259
E05011392,Farnley & Wortley,,1260
E05001371,Brighouse,,1261
E05001322,Bilston North,,1262
E05001272,Old Warley,,1263
E05008949,Manor House,,1264
E05011393,Garforth & Swillington,,1265
E05001372,Calder,,1266
E05001323,Blakenhall,,1267
E05001221,Earlsdon,,1268
E05001273,Oldbury,,1269
E05008950,Rural West,,1270
E05011394,Gipton & Harehills,,1271
E05001373,Elland,,1272
E05001324,Bushbury North,,1273
E05001222,Foleshill,,1274
E05001274,Princes End,,1275
E05008951,Seaton,,1276
E05011395,Guiseley & Rawdon,,1277
E05001374,Greetland and Stainland,,1278
E05001325,Bushbury South and Low Hill,,1279
E05001223,Henley,,1280
E05001275,Rowley,,1281
E05008952,Victoria,,1282
E05011396,Harewood,,1283
E05001375,Hipperholme and Lightcliffe,,1284
E05001326,East Park,,1285
E05001224,Holbrook,,1286
E05001276,St Pauls,,1287
E05009853,Acklam,,1288
E05011397,Headingley & Hyde Park,,1289
E05001376,Illingworth and Mixenden,,1290
E05001327,Ettingshall,,1291
E05001225,Longford,,1292
E05001277,Smethwick,,1293
E05009854,Ayresome,,1294
E05011547,Horsforth,,1295
E05001377,Luddendenfoot,,1296
E05001328,Fallings Park,,1297
E05001226,Lower Stoke,,1298
E05001278,Soho and Victoria,,1299
E05009855,Berwick Hills & Pallister,,1300
E05011399,Hunslet & Riverside,,1301
E05001378,Northowram and Shelf,,1302
E05001329,Graiseley,,1303
E05001227,Radford,,1304
E05001279,Tipton Green,,1305
E05009856,Brambles & Thorntree,,1306
E05011400,Killingbeck & Seacroft,,1307
E05001379,Ovenden,,1308
E05001330,Heath Town,,1309
E05001228,St Michael's,,1310
E05001280,Tividale,,1311
E05009857,Central,,1312
E05011401,Kippax & Methley,,1313
E05001380,Park,,1314
E05001331,Merry Hill,,1315
E05001229,Sherbourne,,1316
E05001281,Wednesbury North,,1317
E05009858,Coulby Newham,,1318
E05011402,Kirkstall,,1319
E05001381,Rastrick,,1320
E05001332,Oxley,,1321
E05001230,Upper Stoke,,1322
E05001282,Wednesbury South,,1323
E05009859,Hemlington,,1324
E05011403,Little London & Woodhouse,,1325
E05001382,Ryburn,,1326
E05001333,Park,,1327
E05001231,Wainbody,,1328
E05001283,West Bromwich Central,,1329
E05009860,Kader,,1330
E05011404,Middleton Park,,1331
E05001383,Skircoat,,1332
E05001334,Penn,,1333
E05001232,Westwood,,1334
E05001284,Bickenhill,,1335
E05009861,Ladgate,,1336
E05011405,Moortown,,1337
E05001384,Sowerby Bridge,,1338
E05001335,St Peter's,,1339
E05001233,Whoberley,,1340
E05001285,Blythe,,1341
E05009862,Linthorpe,,1342
E05011406,Morley North,,1343
E05001385,Todmorden,,1344
E05001336,Spring Vale,,1345
E05001234,Woodlands,,1346
E05001286,Castle Bromwich,,1347
E05009863,Longlands & Beechwood,,1348
E05011407,Morley South,,1349
E05001386,Town,,1350
E05001387,Warley,,1351
E05008558,Almondbury,,1352
E05001389,Ashbrow,,1353
E05001390,Batley East,,1354
E05001391,Batley West,,1355
E05001392,Birstall and Birkenshaw,,1356
E05001393,Cleckheaton,,1357
E05008559,Colne Valley,,1358
E05008560,Crosland Moor and Netherton,,1359
E05001396,Dalton,,1360
E05001397,Denby Dale,,1361
E05001398,Dewsbury East,,1362
E05001399,Dewsbury South,,1363
E05001400,Dewsbury West,,1364
E05001401,Golcar,,1365
E05001402,Greenhead,,1366
E05001403,Heckmondwike,,1367
E05008561,Holme Valley North,,1368
E05001405,Holme Valley South,,1369
E05008562,Kirkburton,,1370
E05001407,Lindley,,1371
E05001408,Liversedge and Gomersal,,1372
E05001409,Mirfield,,1373
E05001410,Newsome,,1374
E05011382,Adel & Wharfedale,,1375
E05011383,Alwoodley,,1376
E05011384,Ardsley & Robin Hood,,1377
E05011385,Armley,,1378
E05011386,Beeston & Holbeck,,1379
E05011387,Bramley & Stanningley,,1380
E05011388,Burmantofts & Richmond Hill,,1381
E05011389,Calverley & Farsley,,1382
E05011390,Chapel Allerton,,1383
E05011549,Otley & Yeadon,,1384
E05009864,Marton East,,1385
E05001287,Chelmsley Wood,,1386
E05011409,Pudsey,,1387
E05001337,Tettenhall Regis,,1388
E05009865,Marton West,,1389
E05001288,Dorridge and Hockley Heath,,1390
E05011410,Rothwell,,1391
E05001235,Wyken,,1392
E05001338,Tettenhall Wightwick,,1393
E05009866,Newport,,1394
E05001289,Elmdon,,1395
E05011411,Roundhay,,1396
E05001236,Amblecote,,1397
E05001339,Wednesfield North,,1398
E05009867,North Ormesby,,1399
E05001290,Kingshurst and Fordbridge,,1400
E05011412,Temple Newsam,,1401
E05001237,Belle Vale,,1402
E05001340,Wednesfield South,,1403
E05009868,Nunthorpe,,1404
E05001291,Knowle,,1405
E05011413,Weetwood,,1406
E05001238,Brierley Hill,,1407
E05001341,Baildon,,1408
E05009869,Park,,1409
E05001292,Lyndon,,1410
E05011414,Wetherby,,1411
E05001239,Brockmoor and Pensnett,,1412
E05001342,Bingley,,1413
E05009870,Park End & Beckfield,,1414
E05001293,Meriden,,1415
E05001444,"Ackworth, North Elmsall and Upton",,1416
E05001240,Castle and Priory,,1417
E05001343,Bingley Rural,,1418
E05009871,Stainton & Thornton,,1419
E05001294,Olton,,1420
E05001445,Airedale and Ferry Fryston,,1421
E05001529,Billingham North,,1422
E05001241,Coseley East,,1423
E05001344,Bolton and Undercliffe,,1424
E05009872,Trimdon,,1425
E05001295,St Alphege,,1426
E05001446,Altofts and Whitwood,,1427
E05001530,Billingham South,,1428
E05001242,Cradley and Wollescote,,1429
E05001345,Bowling and Barkerend,,1430
E05001505,Brotton,,1431
E05001296,Shirley East,,1432
E05001447,Castleford Central and Glasshoughton,,1433
E05001531,Billingham West,,1434
E05001243,Gornal,,1435
E05001346,Bradford Moor,,1436
E05001506,Coatham,,1437
E05001297,Shirley South,,1438
E05001448,"Crofton, Ryhill and Walton",,1439
E05001532,Bishopsgarth and Elm Tree,,1440
E05001244,Halesowen North,,1441
E05001347,City,,1442
E05001507,Dormanstown,,1443
E05001298,Shirley West,,1444
E05001449,Featherstone,,1445
E05001533,Eaglescliffe,,1446
E05001245,Halesowen South,,1447
E05001348,Clayton and Fairweather Green,,1448
E05001508,Eston,,1449
E05001299,Silhill,,1450
E05001450,Hemsworth,,1451
E05001534,Fairfield,,1452
E05001509,Grangetown,,1453
E05001246,Hayley Green and Cradley South,,1454
E05001510,Guisborough,,1455
E05001349,Craven,,1456
E05001511,Hutton,,1457
E05001247,Kingswinford North and Wall Heath,,1458
E05001535,Grangefield,,1459
E05001451,Horbury and South Ossett,,1460
E05001300,Smith's Wood,,1461
E05001350,Eccleshill,,1462
E05001536,Hardwick and Salters Lane,,1463
E05001512,Kirkleatham,,1464
E05001452,Knottingley,,1465
E05001248,Kingswinford South,,1466
E05001301,Aldridge Central and South,,1467
E05001351,Great Horton,,1468
E05001537,Hartburn,,1469
E05001513,Lockwood,,1470
E05001453,Normanton,,1471
E05001249,Lye and Stourbridge North,,1472
E05001302,Aldridge North and Walsall Wood,,1473
E05001352,Heaton,,1474
E05001538,Ingleby Barwick East,,1475
E05001514,Loftus,,1476
E05001454,Ossett,,1477
E05001250,"Netherton, Woodside and St Andrews",,1478
E05001303,Bentley and Darlaston North,,1479
E05001353,Idle and Thackley,,1480
E05001539,Ingleby Barwick West,,1481
E05001515,Longbeck,,1482
E05001455,Pontefract North,,1483
E05001251,Norton,,1484
E05001304,Birchills Leamore,,1485
E05001354,Ilkley,,1486
E05001540,Mandale and Victoria,,1487
E05001516,Newcomen,,1488
E05001456,Pontefract South,,1489
E05001252,Pedmore and Stourbridge East,,1490
E05001305,Blakenall,,1491
E05001355,Keighley Central,,1492
E05001541,Newtown,,1493
E05001517,Normanby,,1494
E05001457,South Elmsall and South Kirkby,,1495
E05001253,Quarry Bank and Dudley Wood,,1496
E05001306,Bloxwich East,,1497
E05001356,Keighley East,,1498
E05001542,Northern Parishes,,1499
E05001518,Ormesby,,1500
E05001458,Stanley and Outwood East,,1501
E05001254,St James's,,1502
E05001307,Bloxwich West,,1503
E05001357,Keighley West,,1504
E05001543,Norton North,,1505
E05001519,St Germain's,,1506
E05001459,Wakefield East,,1507
E05001255,St Thomas's,,1508
E05001308,Brownhills,,1509
E05001358,Little Horton,,1510
E05001544,Norton South,,1511
E05001520,Saltburn,,1512
E05001460,Wakefield North,,1513
E05001256,Sedgley,,1514
E05001309,Darlaston South,,1515
E05001359,Manningham,,1516
E05001545,Norton West,,1517
E05001521,Skelton,,1518
E05001461,Wakefield Rural,,1519
E05001257,Upper Gornal and Woodsetton,,1520
E05001310,Paddock,,1521
E05001360,Queensbury,,1522
E05001546,Parkfield and Oxbridge,,1523
E05001522,South Bank,,1524
E05001462,Wakefield South,,1525
E05001258,Wollaston and Stourbridge Town,,1526
E05001311,Palfrey,,1527
E05001361,Royds,,1528
E05001547,Roseworth,,1529
E05001523,Teesville,,1530
E05001463,Wakefield West,,1531
E05001259,Wordsley,,1532
E05001312,Pelsall,,1533
E05001362,Shipley,,1534
E05001548,Stainsby Hill,,1535
E05001524,West Dyke,,1536
E05001464,Wrenthorpe and Outwood West,,1537
E05001260,Abbey,,1538
E05001313,Pheasey Park Farm,,1539
E05001363,Thornton and Allerton,,1540
E05001549,Stockton Town Centre,,1541
E05001525,Westworth,,1542
E05008942,Burn Valley,,1543
E05001261,Blackheath,,1544
E05001314,Pleck,,1545
E05001364,Toller,,1546
E05001550,Village,,1547
E05001526,Zetland,,1548
E05008943,De Bruce,,1549
E05001262,Bristnall,,1550
E05001315,Rushall-Shelfield,,1551
E05001365,Tong,,1552
E05001551,Western Parishes,,1553
E05001527,Billingham Central,,1554
E05008944,Fens and Rossmere,,1555
E05008945,Foggy Furze,,1556
E05008946,Hart,,1557
E05001366,Wharfedale,,1558
E05001316,St Matthew's,,1559
E05001367,Wibsey,,1560
E05001528,Billingham East,,1561
E05001317,Short Heath,,1562
E05001263,Charlemont with Grove Vale,,1563
E05001368,Windhill and Wrose,,1564
E05001552,Yarm,,1565
E05001318,Streetly,,1566
E05001264,Cradley Heath and Old Hill,,1567
E05001369,Worth Valley,,1568
E05010412,Bank Top & Lascelles,,1569
E05001319,Willenhall North,,1570
E05001265,Friar Park,,1571
E05010413,Brinkburn & Faverdale,,1572
E05001266,Great Barr with Yew Tree,,1573
E05010414,Cockerton,,1574
E05001267,Great Bridge,,1575
E05010415,College,,1576
E05001268,Greets Green and Lyng,,1577
E05010416,Eastbourne,,1578
E05001269,Hateley Heath,,1579
E05010417,Harrowgate Hill,,1580
E05010418,Haughton & Springfield,,1581
E05010419,Heighington & Coniscliffe,,1582
E05010420,Hummersknott,,1583
E05010421,Hurworth,,1584
E05010422,Mowden,,1585
E05010423,North Road,,1586
E05010424,Northgate,,1587
E05010425,Park East,,1588
E05010426,Park West,,1589
E05010427,Pierremont,,1590
E05010428,Red Hall & Lingfield,,1591
E05010429,Sadberge & Middleton St George,,1592
E05010430,Stephenson,,1593
E05010431,Whinfield,,1594
E05009030,Annfield Plain,,1595
E05009031,Aycliffe East,,1596
E05009032,Aycliffe North and Middridge,,1597
E05009033,Aycliffe West,,1598
E05009034,Barnard Castle East,,1599
E05009035,Barnard Castle West,,1600
E05001714,East Marsh,,1601
E05001715,Freshney,,1602
E05001716,Haverstoe,,1603
E05001717,Heneage,,1604
E05001718,Humberston and New Waltham,,1605
E05001719,Immingham,,1606
E05001720,Park,,1607
E05001721,Scartho,,1608
E05001722,Sidney Sussex,,1609
E05001723,South,,1610
E05001724,Waltham,,1611
E05001725,West Marsh,,1612
E05001726,Wolds,,1613
E05001727,Yarborough,,1614
E05001728,Ashby,,1615
E05001729,Axholme Central,,1616
E05001730,Axholme North,,1617
E05001731,Axholme South,,1618
E05001732,Barton,,1619
E05001733,Bottesford,,1620
E05001734,Brigg and Wolds,,1621
E05001735,Broughton and Appleby,,1622
E05001736,Brumby,,1623
E05001737,Burringham and Gunness,,1624
E05001738,Burton upon Stather and Winterton,,1625
E05001739,Crosby and Park,,1626
E05001740,Ferry,,1627
E05001741,Frodingham,,1628
E05001742,Kingsway with Lincoln Gardens,,1629
E05001743,Ridge,,1630
E05001744,Town,,1631
E05010311,Acomb,,1632
E05010312,Bishopthorpe,,1633
E05010313,Clifton,,1634
E05010314,Copmanthorpe,,1635
E05010315,Dringhouses & Woodthorpe,,1636
E05010316,Fishergate,,1637
E05010317,Fulford & Heslington,,1638
E05010318,Guildhall,,1639
E05010319,Haxby & Wigginton,,1640
E05010320,Heworth,,1641
E05010321,Heworth Without,,1642
E05010322,Holgate,,1643
E05010323,Hull Road,,1644
E05010324,Huntington & New Earswick,,1645
E05010325,Micklegate,,1646
E05010326,Osbaldwick & Derwent,,1647
E05010327,Rawcliffe & Clifton Without,,1648
E05010328,Rural West York,,1649
E05010329,Strensall,,1650
E05009086,Trimdon and Thornley,,1651
E05009087,Tudhoe,,1652
E05009088,Weardale,,1653
E05009089,West Auckland,,1654
E05009090,Willington and Hunwick,,1655
E05009091,Wingate,,1656
E05009092,Woodhouse Close,,1657
E05009093,Alnwick,,1658
E05009094,Amble,,1659
E05009095,Amble West with Warkworth,,1660
E05009096,Ashington Central,,1661
E05009097,Bamburgh,,1662
E05009098,Bedlington Central,,1663
E05009099,Bedlington East,,1664
E05009100,Bedlington West,,1665
E05009101,Bellingham,,1666
E05009102,Berwick East,,1667
E05009103,Berwick North,,1668
E05009104,Berwick West with Ord,,1669
E05009105,Bothal,,1670
E05009106,Bywell,,1671
E05009107,Choppington,,1672
E05009108,College,,1673
E05009109,Corbridge,,1674
E05009110,Cowpen,,1675
E05009111,Cramlington East,,1676
E05009112,Cramlington Eastfield,,1677
E05009113,Cramlington North,,1678
E05009114,Cramlington South East,,1679
E05009115,Cramlington Village,,1680
E05009116,Cramlington West,,1681
E05009117,Croft,,1682
E05009118,Druridge Bay,,1683
E05009119,Haltwhistle,,1684
E05009120,Hartley,,1685
E05009121,Haydon,,1686
E05009122,Haydon and Hadrian,,1687
E05009123,Hexham Central with Acomb,,1688
E05009124,Hexham East,,1689
E05009125,Hexham West,,1690
E05009126,Hirst,,1691
E05009127,Holywell,,1692
E05009128,Humshaugh,,1693
E05009129,Isabella,,1694
E05009130,Kitty Brewster,,1695
E05009131,Longhorsley,,1696
E05009132,Longhoughton,,1697
E05009133,Lynemouth,,1698
E05009134,Morpeth Kirkhill,,1699
E05009135,Morpeth North,,1700
E05008694,Strawberry,,1701
E05009136,Morpeth Stobhill,,1702
E05009036,Belmont,,1703
E05011028,Chapelford and Old Hall,,1704
E05001662,Warbreck,,1705
E05009137,Newbiggin Central and East,,1706
E05009138,Newsham,,1707
E05009139,Norham and Islandshires,,1708
E05009140,Pegswood,,1709
E05009141,Plessey,,1710
E05009142,Ponteland East and Stannington,,1711
E05009143,Ponteland North,,1712
E05009144,Ponteland South with Heddon,,1713
E05009145,Ponteland West,,1714
E05009146,Prudhoe North,,1715
E05009147,Prudhoe South,,1716
E05009148,Rothbury,,1717
E05009149,Seaton with Newbiggin West,,1718
E05009150,Seghill with Seaton Delaval,,1719
E05009151,Shilbottle,,1720
E05009152,Sleekburn,,1721
E05009153,South Blyth,,1722
E05009154,South Tynedale,,1723
E05009155,Stakeford,,1724
E05009156,Stocksfield and Broomhaugh,,1725
E05009157,Wensleydale,,1726
E05009158,Wooler,,1727
E05008610,Alderley Edge,,1728
E05008611,Alsager,,1729
E05008612,Audlem,,1730
E05008613,Bollington,,1731
E05008614,Brereton Rural,,1732
E05008615,Broken Cross and Upton,,1733
E05008616,Bunbury,,1734
E05008617,Chelford,,1735
E05008618,Congleton East,,1736
E05008619,Congleton West,,1737
E05008620,Crewe Central,,1738
E05008621,Crewe East,,1739
E05008622,Crewe North,,1740
E05008623,Crewe St Barnabas,,1741
E05008624,Crewe South,,1742
E05008625,Crewe West,,1743
E05008626,Dane Valley,,1744
E05008627,Disley,,1745
E05008628,Gawsworth,,1746
E05008629,Handforth,,1747
E05008630,Haslington,,1748
E05008631,High Legh,,1749
E05008632,Knutsford,,1750
E05008633,Leighton,,1751
E05008634,Macclesfield Central,,1752
E05008635,Macclesfield East,,1753
E05008636,Macclesfield Hurdsfield,,1754
E05008695,Sutton,,1755
E05008696,Tarporley,,1756
E05008697,Tarvin and Kelsall,,1757
E05008698,Tattenhall,,1758
E05008699,Upton,,1759
E05008700,Weaver and Cuddington,,1760
E05008701,Whitby,,1761
E05008637,Macclesfield South,,1762
E05008702,Willaston and Thornton,,1763
E05008703,Winnington and Castle,,1764
E05008704,Winsford Over and Verdin,,1765
E05008705,Winsford Swanlow and Dene,,1766
E05008706,Winsford Wharton,,1767
E05008707,Witton and Rudheath,,1768
E05011508,Audley & Queen's Park,,1769
E05011509,Bastwell & Daisyfield,,1770
E05011510,Billinge & Beardwood,,1771
E05011511,Blackburn Central,,1772
E05011512,Blackburn South & Lower Darwen,,1773
E05011513,Blackburn South East,,1774
E05011514,Darwen East,,1775
E05011515,Darwen South,,1776
E05011516,Darwen West,,1777
E05011517,Ewood,,1778
E05011518,Little Harwood & Whitebirk,,1779
E05011519,Livesey with Pleasington,,1780
E05011520,Mill Hill & Moorgate,,1781
E05011521,Roe Lee,,1782
E05011522,Shear Brow & Corporation Park,,1783
E05011523,Wensley Fold,,1784
E05011524,West Pennine,,1785
E05001643,Anchorsholme,,1786
E05001644,Bispham,,1787
E05001645,Bloomfield,,1788
E05001646,Brunswick,,1789
E05001647,Claremont,,1790
E05001648,Clifton,,1791
E05001649,Greenlands,,1792
E05001650,Hawes Side,,1793
E05001651,Highfield,,1794
E05001652,Ingthorpe,,1795
E05001653,Layton,,1796
E05001654,Marton,,1797
E05001655,Norbreck,,1798
E05001656,Park,,1799
E05001657,Squires Gate,,1800
E05001658,Stanley,,1801
E05001659,Talbot,,1802
E05001660,Tyldesley,,1803
E05001661,Victoria,,1804
E05009037,Benfieldside,,1805
E05011029,"Culcheth, Glazebury and Croft",,1806
E05009038,Bishop Auckland Town,,1807
E05001663,Waterloo,,1808
E05008638,Macclesfield Tytherington,,1809
E05011525,Avenue,,1810
E05009039,Bishop Middleham and Cornforth,,1811
E05008639,Macclesfield West and Ivy,,1812
E05011526,Beverley & Newland,,1813
E05011030,Fairfield and Howley,,1814
E05009040,Blackhalls,,1815
E05008640,Middlewich,,1816
E05011527,Boothferry,,1817
E05011031,Grappenhall,,1818
E05009041,Brandon,,1819
E05008641,Mobberley,,1820
E05011528,Bricknell,,1821
E05011032,Great Sankey North and Whittle Hall,,1822
E05009042,Burnopfield and Dipton,,1823
E05008642,Nantwich North and West,,1824
E05011529,Central,,1825
E05011033,Great Sankey South,,1826
E05009043,Chester-le-Street East,,1827
E05008643,Nantwich South and Stapeley,,1828
E05011530,Derringham,,1829
E05011034,Latchford East,,1830
E05009044,Chester-le-Street North,,1831
E05008644,Odd Rode,,1832
E05011531,Drypool,,1833
E05011035,Latchford West,,1834
E05009045,Chester-le-Street South,,1835
E05008645,Poynton East and Pott Shrigley,,1836
E05011532,Holderness,,1837
E05011036,Lymm North and Thelwall,,1838
E05009046,Chester-le-Street West Central,,1839
E05008646,Poynton West and Adlington,,1840
E05011533,Ings,,1841
E05011037,Lymm South,,1842
E05009047,Chilton,,1843
E05008647,Prestbury,,1844
E05011534,Kingswood,,1845
E05011038,Orford,,1846
E05009048,Consett North,,1847
E05008648,Sandbach Elworth,,1848
E05011535,Longhill & Bilton Grange,,1849
E05011039,Penketh and Cuerdley,,1850
E05009049,Consett South,,1851
E05008649,Sandbach Ettiley Heath and Wheelock,,1852
